order_id,order_date,ship_date,ship_mode,customer_id,product_id,sales,quantity,discount,profit,postal_code,region_id
ES-2019-3581298,2019-10-05,2019-10-10,Standard Class,MW-18220,FUR-BO-10002318,1239.84,3,0.25,0.19,,28804.0
CA-2018-2597967,2018-12-06,2018-12-08,Standard Class,TS-21430,FUR-FU-10003096,30.36,4,0.28,0.24,,7530.0
ES-2017-410130,2017-04-20,2017-04-21,Second Class,ES-14080,OFF-BI-10004007,14.69,1,0.12,0.1,,69959.0
IT-2019-1363430,2019-09-03,2019-09-04,Second Class,RP-19390,OFF-BI-10002040,15.4,1,0.15,0.1,,4715.0
ID-2018-682568,2018-10-29,2018-10-29,Standard Class,PH-18790,TEC-CO-10000452,656.99,3,0.23,0.19,6824.0,5636.0
US-2019-729725,2019-09-19,2019-09-23,Same Day,HA-14905,OFF-LA-10003337,25.78,6,0.25,0.19,72209.0,3688.0
ID-2018-4232261,2018-10-11,2018-10-13,Standard Class,BS-11380,FUR-FU-10002933,210.6,12,0.33,0.29,,6569.0
CA-2016-1890844,2016-11-03,2016-11-05,Second Class,MA-17995,TEC-AC-10001542,22.96,2,0.0,0.0,,4792.0
UP-2019-1167400,2019-06-12,2019-06-12,Standard Class,KB-6240,OFF-SAN-10004339,75.72,4,0.4,0.33,,3373.0
ID-2017-4967149,2017-04-19,2017-04-19,Standard Class,HZ-14950,FUR-CH-10004339,231.42,3,0.17,0.15,,4792.0
SF-2018-5218835,2018-08-16,2018-08-16,Second Class,VS-11820,OFF-CAR-10000319,12.36,1,0.13,0.1,45373.0,5636.0
ID-2018-1893322,2018-10-04,2018-10-08,Standard Class,DB-13210,FUR-CH-10003354,78.35,3,0.18,0.15,,3998.0
ES-2019-1460908,2019-10-25,2019-10-27,Same Day,SU-20665,OFF-FA-10001574,38.76,2,0.25,0.19,,3104.0
EG-2019-3280302,2019-11-02,2019-11-02,Standard Class,DS-3030,OFF-HOO-10000335,613.56,2,0.35,0.28,78577.0,1488.0
ES-2019-3244806,2019-08-30,2019-09-01,Standard Class,SW-20275,FUR-FU-10004608,61.11,2,0.1,0.05,,2941.0
ES-2018-5993203,2018-07-04,2018-07-04,Standard Class,SW-20755,FUR-BO-10003103,1850.44,5,0.43,0.39,,4792.0
IN-2019-1950869,2019-10-27,2019-10-29,Second Class,CR-12820,TEC-PH-10003239,136.59,1,0.45,0.38,10035.0,5636.0
EN-2017-95885,2017-06-12,2017-06-15,Standard Class,AS-240,FUR-BUS-10002040,1467.36,4,0.47,0.44,,19848.0
US-2018-478016,2018-10-04,2018-10-05,Standard Class,RB-19435,FUR-BO-10002334,115.03,2,0.23,0.19,,1573.0
ES-2019-5768157,2019-08-06,2019-08-09,Second Class,FH-14275,OFF-ST-10004550,229.23,9,0.1,0.05,,3280.0
CA-2018-278572,2018-08-05,2018-08-07,Second Class,LS-16945,OFF-ST-10002292,593.57,2,0.28,0.24,,4792.0
CA-2019-1677217,2019-03-19,2019-03-24,Standard Class,PS-18970,FUR-FU-10002364,22.14,3,0.3,0.24,,1573.0
